Nomor Perkara;Tanggal Register;Klasifikasi Perkara;Tahun;Sumber
0089/Pdt.G/2012/MS.LGS;10 Apr 2012;Cerai Talak;2012;ms-langsa
0090/Pdt.G/2012/MS.LGS;10 Apr 2012;Cerai Gugat;2012;ms-langsa
0091/Pdt.G/2012/MS.LGS;11 Apr 2012;Cerai Talak;2012;ms-langsa
0092/Pdt.G/2012/MS.LGS;11 Apr 2012;Cerai Talak;2012;ms-langsa
0093/Pdt.G/2012/MS.LGS;11 Apr 2012;Cerai Talak;2012;ms-langsa
0094/Pdt.G/2012/MS.LGS;11 Apr 2012;Cerai Talak;2012;ms-langsa
0095/Pdt.G/2012/MS.LGS;12 Apr 2012;Cerai Gugat;2012;ms-langsa
0009/Pdt.P/2012/MS.LGS;16 Apr 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0096/Pdt.G/2012/MS.LGS;16 Apr 2012;Cerai Talak;2012;ms-langsa
0097/Pdt.G/2012/MS.LGS;17 Apr 2012;Cerai Gugat;2012;ms-langsa
0010/Pdt.P/2012/MS.LGS;18 Apr 2012;Perwalian;2012;ms-langsa
0098/Pdt.G/2012/MS.LGS;18 Apr 2012;Cerai Talak;2012;ms-langsa
0099/Pdt.G/2012/MS.LGS;18 Apr 2012;Cerai Gugat;2012;ms-langsa
0100/Pdt.G/2012/MS.LGS;18 Apr 2012;Cerai Talak;2012;ms-langsa
0101/Pdt.G/2012/MS.LGS;19 Apr 2012;Cerai Gugat;2012;ms-langsa
0102/Pdt.G/2012/MS.LGS;20 Apr 2012;Cerai Gugat;2012;ms-langsa
0103/Pdt.G/2012/MS.LGS;20 Apr 2012;Cerai Gugat;2012;ms-langsa
0104/Pdt.G/2012/MS.LGS;20 Apr 2012;Cerai Gugat;2012;ms-langsa
0105/Pdt.G/2012/MS.LGS;20 Apr 2012;Cerai Talak;2012;ms-langsa
0106/Pdt.G/2012/MS.LGS;20 Apr 2012;Cerai Gugat;2012;ms-langsa
0107/Pdt.G/2012/MS.LGS;23 Apr 2012;Cerai Gugat;2012;ms-langsa
0108/Pdt.G/2012/MS.LGS;23 Apr 2012;Cerai Gugat;2012;ms-langsa
0011/Pdt.P/2012/MS.LGS;24 Apr 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0109/Pdt.G/2012/MS.LGS;24 Apr 2012;Cerai Gugat;2012;ms-langsa
0110/Pdt.G/2012/MS.LGS;24 Apr 2012;Cerai Gugat;2012;ms-langsa
0111/Pdt.G/2012/MS.LGS;24 Apr 2012;Cerai Talak;2012;ms-langsa
0112/Pdt.G/2012/MS.LGS;25 Apr 2012;Cerai Gugat;2012;ms-langsa
0113/Pdt.G/2012/MS.LGS;02 May 2012;Cerai Gugat;2012;ms-langsa
0114/Pdt.G/2012/MS.LGS;03 May 2012;Cerai Gugat;2012;ms-langsa
0115/Pdt.G/2012/MS.LGS;07 May 2012;Cerai Gugat;2012;ms-langsa
0116/Pdt.G/2012/MS.LGS;07 May 2012;Cerai Gugat;2012;ms-langsa
0117/Pdt.G/2012/MS.LGS;09 May 2012;Cerai Gugat;2012;ms-langsa
0118/Pdt.G/2012/MS.LGS;10 May 2012;Cerai Gugat;2012;ms-langsa
0119/Pdt.G/2012/MS.LGS;10 May 2012;Cerai Gugat;2012;ms-langsa
0120/Pdt.G/2012/MS.LGS;11 May 2012;Cerai Gugat;2012;ms-langsa
0121/Pdt.G/2012/MS.LGS;14 May 2012;Cerai Gugat;2012;ms-langsa
0122/Pdt.G/2012/MS.LGS;15 May 2012;Cerai Gugat;2012;ms-langsa
0123/Pdt.G/2012/MS.LGS;15 May 2012;Cerai Gugat;2012;ms-langsa
0124/Pdt.G/2012/MS.LGS;16 May 2012;Cerai Gugat;2012;ms-langsa
0125/Pdt.G/2012/MS.LGS;16 May 2012;Cerai Gugat;2012;ms-langsa
0126/Pdt.G/2012/MS.LGS;21 May 2012;Cerai Gugat;2012;ms-langsa
0127/Pdt.G/2012/MS.LGS;22 May 2012;Cerai Talak;2012;ms-langsa
0128/Pdt.G/2012/MS.LGS;22 May 2012;Cerai Talak;2012;ms-langsa
0129/Pdt.G/2012/MS.LGS;22 May 2012;Cerai Gugat;2012;ms-langsa
0130/Pdt.G/2012/MS.LGS;23 May 2012;Cerai Talak;2012;ms-langsa
0131/Pdt.G/2012/MS.LGS;28 May 2012;Cerai Gugat;2012;ms-langsa
0132/Pdt.G/2012/MS.LGS;28 May 2012;Cerai Gugat;2012;ms-langsa
0133/Pdt.G/2012/MS.LGS;29 May 2012;Cerai Gugat;2012;ms-langsa
0134/Pdt.G/2012/MS.LGS;30 May 2012;Cerai Talak;2012;ms-langsa
0135/Pdt.G/2012/MS.LGS;30 May 2012;Cerai Gugat;2012;ms-langsa
0136/Pdt.G/2012/MS.LGS;01 Jun 2012;Cerai Gugat;2012;ms-langsa
0137/Pdt.G/2012/MS.LGS;04 Jun 2012;Cerai Gugat;2012;ms-langsa
0138/Pdt.G/2012/MS.LGS;04 Jun 2012;Cerai Gugat;2012;ms-langsa
0139/Pdt.G/2012/MS.LGS;05 Jun 2012;Cerai Gugat;2012;ms-langsa
0140/Pdt.G/2012/MS.LGS;05 Jun 2012;Cerai Gugat;2012;ms-langsa
0141/Pdt.G/2012/MS.LGS;05 Jun 2012;Cerai Gugat;2012;ms-langsa
0142/Pdt.G/2012/MS.LGS;06 Jun 2012;Cerai Gugat;2012;ms-langsa
0012/Pdt.P/2012/MS.LGS;11 Jun 2012;Istbat Nikah;2012;ms-langsa
0144/Pdt.G/2012/MS.LGS;12 Jun 2012;Cerai Gugat;2012;ms-langsa
0145/Pdt.G/2012/MS.LGS;12 Jun 2012;Cerai Gugat;2012;ms-langsa
0146/Pdt.G/2012/MS.LGS;18 Jun 2012;Cerai Talak;2012;ms-langsa
0147/Pdt.G/2012/MS.LGS;18 Jun 2012;Cerai Gugat;2012;ms-langsa
0148/Pdt.G/2012/MS.LGS;18 Jun 2012;Cerai Gugat;2012;ms-langsa
0149/Pdt.G/2012/MS.LGS;18 Jun 2012;Cerai Gugat;2012;ms-langsa
0150/Pdt.G/2012/MS.LGS;19 Jun 2012;Cerai Gugat;2012;ms-langsa
0151/Pdt.G/2012/MS.LGS;19 Jun 2012;Cerai Gugat;2012;ms-langsa
0152/Pdt.G/2012/MS.LGS;20 Jun 2012;Cerai Gugat;2012;ms-langsa
0153/Pdt.G/2012/MS.LGS;21 Jun 2012;Cerai Gugat;2012;ms-langsa
0154/Pdt.G/2012/MS.LGS;21 Jun 2012;Cerai Gugat;2012;ms-langsa
0156/Pdt.G/2012/MS.LGS;25 Jun 2012;Cerai Gugat;2012;ms-langsa
0155/Pdt.G/2012/MS.LGS;26 Jun 2012;Cerai Gugat;2012;ms-langsa
0157/Pdt.G/2012/MS.LGS;26 Jun 2012;Cerai Talak;2012;ms-langsa
0158/Pdt.G/2012/MS.LGS;02 Jul 2012;Cerai Gugat;2012;ms-langsa
0159/Pdt.G/2012/MS.LGS;02 Jul 2012;Cerai Gugat;2012;ms-langsa
